Name,Scripture,Reading,Stretch,Fretboard,Date,Day Score,Stats
"@January 31, 2025 ",No,No,No,No,"January 31, 2025",0,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 30, 2025 ",Yes,Yes,Yes,Yes,"January 30, 2025",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 29, 2025 ",Yes,Yes,Yes,No,"January 29, 2025",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 28, 2025 ",Yes,Yes,Yes,Yes,"January 28, 2025",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 27, 2025 ",Yes,Yes,Yes,No,"January 27, 2025",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 26, 2025 ",Yes,Yes,Yes,No,"January 26, 2025",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 25, 2025 ",Yes,Yes,Yes,No,"January 25, 2025",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 24, 2025 ",Yes,Yes,Yes,Yes,"January 24, 2025",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 23, 2025 ",Yes,Yes,Yes,No,"January 23, 2025",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 22, 2025 ",Yes,Yes,Yes,Yes,"January 22, 2025",1,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 21, 2025 ",Yes,Yes,Yes,No,"January 21, 2025",0.75,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 20, 2025 ",Yes,No,No,No,"January 20, 2025",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 19, 2025 ",No,No,Yes,No,"January 19, 2025",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 18, 2025 ",Yes,No,Yes,No,"January 18, 2025",0.5,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
"@January 17, 2025 ",Yes,No,No,No,"January 17, 2025",0.25,Stats (https://www.notion.so/Stats-93e34e410b614cdf9e393269e7c6733e?pvs=21)
