Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2024-05-31 12:24:39,"Legs V1",1h 5m,"Deadlift (Barbell)",1,115.0,10,0,0,"","",
2024-05-31 12:24:39,"Legs V1",1h 5m,"Deadlift (Barbell)",2,115.0,10,0,0,,,
2024-05-31 12:24:39,"Legs V1",1h 5m,"Deadlift (Barbell)",3,115.0,10,0,0,,,
2024-05-31 12:24:39,"Legs V1",1h 5m,"Deadlift (Barbell)",4,115.0,10,0,0,,,
2024-05-31 12:24:39,"Legs V1",1h 5m,"Bulgarian Split Squat",1,30.0,10,0,0,"",,7
2024-05-31 12:24:39,"Legs V1",1h 5m,"Bulgarian Split Squat",2,30.0,13,0,0,,,7.5
2024-05-31 12:24:39,"Legs V1",1h 5m,"Bulgarian Split Squat",3,30.0,15,0,0,,,8.5
2024-05-31 12:24:39,"Legs V1",1h 5m,"Bulgarian Split Squat",4,30.0,15,0,0,,,9
2024-05-31 12:24:39,"Legs V1",1h 5m,"Standing Calf Raise (Dumbbell)",1,74.99999999999999,14,0,0,"",,8
2024-05-31 12:24:39,"Legs V1",1h 5m,"Standing Calf Raise (Dumbbell)",2,74.99999999999999,16,0,0,,,8
2024-05-31 12:24:39,"Legs V1",1h 5m,"Standing Calf Raise (Dumbbell)",3,74.99999999999999,16,0,0,,,8
2024-05-31 12:24:39,"Legs V1",1h 5m,"Standing Calf Raise (Dumbbell)",4,74.99999999999999,16,0,0,,,8.5
2024-05-31 12:24:39,"Legs V1",1h 5m,"Cable Pull Through",1,35.0,14,0,0,"",,7.5
2024-05-31 12:24:39,"Legs V1",1h 5m,"Cable Pull Through",2,35.0,16,0,0,,,8
2024-05-31 12:24:39,"Legs V1",1h 5m,"Cable Pull Through",3,40.0,14,0,0,,,8
2024-05-31 12:24:39,"Legs V1",1h 5m,"Cable Pull Through",4,40.0,16,0,0,,,7.5
2024-06-03 10:22:22,"Shoulders (V1)",1h 8m,"Strict Military Press (Barbell)",1,74.99999999999999,14,0,0,"","",7.5
2024-06-03 10:22:22,"Shoulders (V1)",1h 8m,"Strict Military Press (Barbell)",2,74.99999999999999,15,0,0,,,8
2024-06-03 10:22:22,"Shoulders (V1)",1h 8m,"Strict Military Press (Barbell)",3,85.0,10,0,0,,,9
2024-06-03 10:22:22,"Shoulders (V1)",1h 8m,"Strict Military Press (Barbell)",4,85.0,10,0,0,,,9
2024-06-03 10:22:22,"Shoulders (V1)",1h 8m,"Lateral Raise (Cable)",1,5.0,12,0,0,"",,7.5
2024-06-03 10:22:22,"Shoulders (V1)",1h 8m,"Lateral Raise (Cable)",2,5.0,15,0,0,,,8
2024-06-03 10:22:22,"Shoulders (V1)",1h 8m,"Lateral Raise (Cable)",3,10.0,10,0,0,,,8.5
2024-06-03 10:22:22,"Shoulders (V1)",1h 8m,"Lateral Raise (Cable)",4,10.0,10,0,0,,,8.5
2024-06-03 10:22:22,"Shoulders (V1)",1h 8m,"Seated Palms Up Wrist Curl (Dumbbell)",1,55.0,15,0,0,"",,8
2024-06-03 10:22:22,"Shoulders (V1)",1h 8m,"Seated Palms Up Wrist Curl (Dumbbell)",2,55.0,18,0,0,,,9
2024-06-03 10:22:22,"Shoulders (V1)",1h 8m,"Seated Palms Up Wrist Curl (Dumbbell)",3,55.0,18,0,0,,,9
2024-06-03 10:22:22,"Shoulders (V1)",1h 8m,"Seated Palms Up Wrist Curl (Dumbbell)",4,55.0,16,0,0,,,8.5
2024-06-03 10:22:22,"Shoulders (V1)",1h 8m,"Front Raise (Cable)",1,10.0,10,0,0,"",,8
2024-06-03 10:22:22,"Shoulders (V1)",1h 8m,"Front Raise (Cable)",2,10.0,12,0,0,,,8
2024-06-03 10:22:22,"Shoulders (V1)",1h 8m,"Front Raise (Cable)",3,10.0,12,0,0,,,8
2024-06-03 10:22:22,"Shoulders (V1)",1h 8m,"Front Raise (Cable)",4,10.0,14,0,0,,,9
2024-06-03 10:22:22,"Shoulders (V1)",1h 8m,"Reverse Fly (Cable)",1,5.0,12,0,0,"",,7.5
2024-06-03 10:22:22,"Shoulders (V1)",1h 8m,"Reverse Fly (Cable)",2,5.0,14,0,0,,,8
2024-06-03 10:22:22,"Shoulders (V1)",1h 8m,"Reverse Fly (Cable)",3,5.0,14,0,0,,,8.5
2024-06-03 10:22:22,"Shoulders (V1)",1h 8m,"Reverse Fly (Cable)",4,5.0,14,0,0,,,8.5
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"Bench Press (Barbell)",1,135.0,12,0,0,"","",7.5
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"Bench Press (Barbell)",2,135.0,14,0,0,,,7.5
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"Bench Press (Barbell)",3,135.0,13,0,0,,,8.5
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"Bench Press (Barbell)",4,145.0,9,0,0,,,8.5
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"Bench Press (Barbell)",5,145.0,9,0,0,,,9
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"Triceps Rope Pushdown",1,40.0,12,0,0,"",,7.5
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"Triceps Rope Pushdown",2,40.0,14,0,0,,,7.5
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"Triceps Rope Pushdown",3,40.0,14,0,0,,,8
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"Triceps Rope Pushdown",4,40.0,12,0,0,,,8
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"Incline Bench Press (Barbell)",1,105.0,12,0,0,"",,7.5
